City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5947035,Eganville,CA,45.5334,-77.0994,55.51,78,0,4.65
140918,Behshahr,IR,36.6923,53.5526,75.15,88,91,7.99
3466704,Castro,BR,-24.7911,-50.0119,53.29,97,100,7.96
684103,Boşorod,RO,45.6833,23.0833,62.46,86,100,3.31
3460087,Jardim,BR,-21.4803,-56.1381,74.53,77,32,3.6
157429,Kilindoni,TZ,-7.9139,39.6668,76.59,73,38,7.94
2180815,Tuatapere,NZ,-46.1333,167.6833,46.81,59,89,3.67
2136825,Isangel,VU,-19.55,169.2667,75.31,78,87,9.22
3175096,Laas,IT,46.6166,10.7002,56.17,94,100,4.81
1509902,Bogandinskiy,RU,56.8937,65.8938,43.07,90,100,8.68
2618795,Klaksvík,FO,62.2266,-6.589,54.52,98,100,25.61
2152659,Port Macquarie,AU,-31.4333,152.9167,67.96,57,8,13.22
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,84.87,16,0,2.3
2027044,Batagay,RU,67.6333,134.6333,49.64,68,100,3.11
